Slug,Title,Published,1 Day,7 Days,14 Days,30 Days,90 Days,Spotify,All Time
51766-merge-conflict-18-ads-profit,Merge Conflict 18: Ads + ? == Profit,2016-11-07,0,0,0,0,5,20,"2,320"
50554-merge-conflict-17-live-coding-the-ultimate-performance,Merge Conflict 17: Live Coding - The Ultimate Performance,2016-10-31,0,0,0,0,0,16,"1,868"
50261-merge-conflict-16-there-will-always-be-room-for-nintendo,Merge Conflict 16: There Will Always Be Room for Nintendo,2016-10-24,0,0,0,0,0,13,"1,676"
49743-merge-conflict-15-bots-bots-bots,Merge Conflict 15: Bots Bots Bots,2016-10-17,0,0,0,0,0,15,"1,995"
49398-merge-conflict-14-stumbling-into-vr,Merge Conflict 14: Stumbling into VR,2016-10-10,0,0,0,0,0,13,"2,030"
48448-merge-conflict-13-let-s-talk-about-bugs,Merge Conflict 13: Let's Talk About Bugs,2016-10-03,0,0,0,0,0,25,"2,417"
48447-merge-conflict-12-surviving-beta-summers,Merge Conflict 12: Surviving Beta Summers,2016-09-26,0,0,0,0,0,12,"2,402"
46485-merge-conflict-11-lightning-talks-round-1,Merge Conflict 11: Lightning Talks Round 1,2016-09-19,0,0,0,0,0,21,"2,160"
46484-merge-conflict-10-wireless-effortless-magical,Merge Conflict 10: Wireless. Effortless. Magical.,2016-09-12,0,0,0,0,0,21,"2,577"
46063-merge-conflict-9-welcome-onboard,Merge Conflict 9: Welcome Onboard,2016-09-05,0,0,0,0,0,23,"2,275"
45413-merge-conflict-8-navigating-the-syntaxtree-forest,Merge Conflict 8: Navigating the SyntaxTree Forest,2016-08-29,0,0,0,0,0,41,"2,474"
44934-merge-conflict-7-is-code-sharing-worth-it,Merge Conflict 7: Is Code Sharing Worth It?,2016-08-22,0,0,0,0,0,45,"2,574"
44499-merge-conflict-6-debugging-the-daily-process,Merge Conflict 6: Debugging the Daily Process,2016-08-15,0,0,0,0,0,48,"2,621"
44076-merge-conflict-5-programming-languages-gotta-collect-em-all,Merge Conflict 5: Programming Languages: Gotta Collect 'em All,2016-08-08,0,0,0,0,0,60,"2,882"
43508-merge-conflict-4-how-not-to-maintain-a-server,Merge Conflict 4: How Not to Maintain a Server,2016-08-01,0,0,0,0,0,55,"2,677"
42594-merge-conflict-3-your-first-open-source-project,Merge Conflict 3: Your First Open Source Project,2016-07-25,0,0,0,0,0,76,"3,196"
42418-merge-conflict-2-augmented-reality-pokemongo,Merge Conflict 2: Augmented Reality #PokemonGo,2016-07-18,0,0,0,0,0,45,"4,440"
41229-merge-conflict-1-build-up-to-an-app-release,Merge Conflict 1: Build up to an app release,2016-07-11,0,0,0,0,0,105,"4,653"
41969-merge-conflict-0-merge-conflict,Merge Conflict 0: Merge Conflict,2016-07-11,0,0,0,0,0,134,"4,728"
